method,hidden_size,num_layers,bidirectional,dropout,title,accuracy,macro_f1,cm
LSTM,128,2,True,0.2,LSTM,0.8,0.797464857518147,"[[19  1  0  0  0  0]
 [ 0 20  0  0  0  0]
 [ 0  0 20  0  0  0]
 [ 0  0  0  7 13  0]
 [ 0  0  0  3 15  2]
 [ 0  0  0  4  1 15]]"
LSTM,64,2,True,0.2,LSTM h=64 L=2 bi=True drop=0.2,0.7833333333333333,0.7806054771074026,"[[20  0  0  0  0  0]
 [ 0 20  0  0  0  0]
 [ 0  0 20  0  0  0]
 [ 0  0  0 10  9  1]
 [ 1  0  0  5  9  5]
 [ 0  0  0  3  2 15]]"
LSTM,256,2,True,0.2,LSTM h=256 L=2 bi=True drop=0.2,0.8,0.7992625762398955,"[[20  0  0  0  0  0]
 [ 0 19  1  0  0  0]
 [ 0  2 18  0  0  0]
 [ 0  0  0  9 11  0]
 [ 0  0  0  3 14  3]
 [ 0  0  0  2  2 16]]"
LSTM,128,1,True,0.2,LSTM h=128 L=1 bi=True drop=0.2,0.65,0.620122219546772,"[[19  0  0  1  0  0]
 [ 0 14  5  1  0  0]
 [ 0  3 17  0  0  0]
 [ 0  0  0 13  0  7]
 [ 0  0  0 12  1  7]
 [ 0  0  0  4  2 14]]"
LSTM,128,2,False,0.2,LSTM h=128 L=2 bi=False drop=0.2,0.6416666666666667,0.6073099278101473,"[[20  0  0  0  0  0]
 [ 2  4 14  0  0  0]
 [ 0  1 19  0  0  0]
 [ 0  0  0 11  3  6]
 [ 1  0  0  2  7 10]
 [ 0  0  0  4  0 16]]"
LSTM,128,2,True,0.0,LSTM h=128 L=2 bi=True drop=0.0,0.8,0.7885181287800536,"[[20  0  0  0  0  0]
 [ 0 20  0  0  0  0]
 [ 0  1 19  0  0  0]
 [ 0  0  0 16  3  1]
 [ 0  0  0  8  6  6]
 [ 0  0  0  5  0 15]]"
