method,channels,kernel_size,dropout,title,accuracy,macro_f1,cm
TemporalCNN,"(128, 128)",5,0.2,TemporalCNN,0.875,0.8765177399323741,"[[20  0  0  0  0  0]
 [ 0 19  1  0  0  0]
 [ 0  0 20  0  0  0]
 [ 1  0  0 16  3  0]
 [ 1  0  0  5 14  0]
 [ 0  0  0  4  0 16]]"
TemporalCNN,"(128, 128)",3,0.2,"TemporalCNN ch=(128, 128) k=3 drop=0.2",0.8666666666666667,0.8692699668309425,"[[20  0  0  0  0  0]
 [ 0 20  0  0  0  0]
 [ 0  0 20  0  0  0]
 [ 0  0  0 13  6  1]
 [ 0  0  0  5 15  0]
 [ 0  0  0  4  0 16]]"
TemporalCNN,"(128, 128)",7,0.2,"TemporalCNN ch=(128, 128) k=7 drop=0.2",0.875,0.8785586497536043,"[[20  0  0  0  0  0]
 [ 0 20  0  0  0  0]
 [ 0  1 19  0  0  0]
 [ 0  0  0 16  4  0]
 [ 0  0  0  6 14  0]
 [ 0  0  0  4  0 16]]"
TemporalCNN,"(64, 64)",5,0.2,"TemporalCNN ch=(64, 64) k=5 drop=0.2",0.8333333333333334,0.825083166341472,"[[20  0  0  0  0  0]
 [ 0 20  0  0  0  0]
 [ 0  0 20  0  0  0]
 [ 1  0  0  7 12  0]
 [ 1  0  0  2 17  0]
 [ 1  0  0  3  0 16]]"
TemporalCNN,"(256, 256)",5,0.2,"TemporalCNN ch=(256, 256) k=5 drop=0.2",0.8333333333333334,0.8253999554812562,"[[20  0  0  0  0  0]
 [ 0 19  1  0  0  0]
 [ 0  0 20  0  0  0]
 [ 1  0  0 18  0  1]
 [ 0  0  0 13  7  0]
 [ 1  0  0  3  0 16]]"
TemporalCNN,"(128, 128, 128)",5,0.2,"TemporalCNN ch=(128, 128, 128) k=5 drop=0.2",0.8416666666666667,0.8389589169000934,"[[20  0  0  0  0  0]
 [ 0 20  0  0  0  0]
 [ 0  0 20  0  0  0]
 [ 4  1  0 13  1  1]
 [ 2  0  0  5 13  0]
 [ 2  1  0  2  0 15]]"
TemporalCNN,"(128, 128)",5,0.0,"TemporalCNN ch=(128, 128) k=5 drop=0.0",0.8416666666666667,0.8405660662089612,"[[20  0  0  0  0  0]
 [ 0 19  1  0  0  0]
 [ 0  0 20  0  0  0]
 [ 3  0  0 15  1  1]
 [ 1  0  0  8 11  0]
 [ 1  0  0  3  0 16]]"
TemporalCNN,"(128, 128)",5,0.5,"TemporalCNN ch=(128, 128) k=5 drop=0.5",0.8583333333333333,0.8595872756334888,"[[20  0  0  0  0  0]
 [ 0 19  1  0  0  0]
 [ 0  0 20  0  0  0]
 [ 0  0  0 12  7  1]
 [ 0  0  0  4 16  0]
 [ 0  0  0  2  2 16]]"
